"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.19924382995844e-83,4.53912740316386,0.353,0.015,8.93200889099319e-79,272,"Pax6"
5.50518839686368e-256,4.53659977045782,0.594,0.065,2.23587721550222e-251,146,"Sst"
0,4.53517355147067,0.73,0.039,0,192,"Onecut3"
9.86169114492668e-128,4.53221397058413,0.272,0.015,4.00522724160052e-123,250,"Emx2os"
1.28228679910345e-66,4.53204292085357,0.867,0.226,5.20787960587877e-62,270,"Kctd16"
0,4.53149935354495,0.667,0.045,0,18,"Pcgf5"
9.44563025876953e-195,4.52700297475994,0.477,0.044,3.83624827329665e-190,199,"Vgll2"
3.75408311631931e-268,4.52424734008446,0.7,0.073,1.52468331686193e-263,192,"Gpc5"
7.74767202016383e-231,4.5234487614796,0.341,0.018,3.14663951426934e-226,206,"Drd2"
0,4.52253726039495,0.505,0.032,0,185,"Mab21l2"
0,4.52214973531986,0.322,0.015,0,38,"Mettl11b"
2.02904953885798e-60,4.52147944811217,0.916,0.307,8.24078179711778e-56,270,"Galntl6"
0,4.52131697020823,0.747,0.067,0,205,"Cpne4"
2.09894291147258e-112,4.51544100164609,0.374,0.037,8.52464674065474e-108,234,"Sema3e"
0,4.51292947009476,0.439,0.027,0,158,"Fndc3c1"
0,4.5128942810895,0.459,0.035,0,67,"Ccbe1"
3.04417673512959e-239,4.51233134270874,0.462,0.034,1.23636193920553e-234,194,"Dbx1"
0,4.51163798063543,0.492,0.025,0,194,"Nhlh1"
1.52466886232902e-36,4.51012454694553,0.47,0.098,6.19229011746309e-32,270,"Lhfp"
2.35707335997174e-215,4.5036850188041,0.837,0.204,9.57301774418923e-211,88,"Arpp21"
3.22931910849183e-45,4.5036131846017,0.294,0.02,1.31155566272287e-40,272,"Gng8"
0,4.50132108179324,0.386,0.026,0,35,"Syt10"
0,4.49796561384747,0.276,0.015,0,15,"Ifi27"
2.4567188460075e-300,4.49787231827851,0.741,0.12,9.97771792117485e-296,53,"Ascl1"
1.4095010402163e-136,4.49611039749197,0.217,0.016,5.72454752473449e-132,140,"Hopx"
0,4.49561930031609,0.736,0.056,0,153,"Prdm13"
0,4.48634206525623,0.609,0.043,0,36,"Vgll2"
4.02217654074625e-139,4.48585425496674,0.467,0.073,1.63356678025868e-134,121,"Gpc5"
0,4.48047265983044,0.724,0.055,0,82,"Prdm13"
8.80759918791334e-169,4.47748964307346,0.225,0.013,3.57711833417912e-164,153,"Dock6"
2.65956103255101e-201,4.47380872601743,0.269,0.017,1.08015411776027e-196,130,"Cryba1"
0,4.47288018932957,0.304,0.014,0,95,"Sowaha"
0,4.46757162465678,0.887,0.04,0,162,"Foxb1"
8.92438820898087e-251,4.46699118386562,0.703,0.089,3.62455102719549e-246,163,"Iqgap2"
4.66749607604191e-218,4.4668867605648,0.34,0.026,1.89565685632366e-213,109,"Pdlim4"
1.55819439017729e-166,4.46600307760289,0.263,0.015,6.32845069626606e-162,205,"Sntb1"
6.79758609761552e-175,4.46252364712794,0.266,0.018,2.76077161768557e-170,141,"Robo3"
7.04882827310838e-185,4.46211858089841,0.366,0.02,2.86281111484024e-180,243,"Gabre"
3.98593573774534e-217,4.46034810454337,0.385,0.033,1.61884794052789e-212,121,"Asic4"
0,4.4597756494352,0.67,0.033,0,192,"Asic4"
1.18876160111649e-54,4.45849141858222,0.26,0.023,4.82803636677452e-50,266,"Cdk6"
0,4.45792962892973,0.565,0.033,0,16,"Pitx2"
7.56027922053372e-181,4.45428639819293,0.201,0.013,3.07053180262756e-176,60,"Bmp2"
1.78078568726609e-21,4.45425368939237,0.361,0.091,7.23248299026251e-17,270,"Sox5os4"
0,4.45398396069031,0.277,0.015,0,38,"Emx2os"
0,4.45161199689634,0.534,0.026,0,18,"Susd1"
0,4.4503389300394,0.506,0.032,0,131,"Mab21l2"
8.85494334101497e-206,4.44971735942689,0.334,0.029,3.59634668851982e-201,82,"Hmga2"
7.81237181672564e-218,4.44804632606328,0.263,0.017,3.17291668964495e-213,82,"Ptx3"
0,4.44489821480684,0.516,0.029,0,141,"Itga4"
