"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.0415908137428e-180,1.8602418801754,0.402,0.153,4.23031693093501e-176,"30","Sypl"
3.09962000100486e-180,1.72555318583645,0.438,0.176,1.25887966720811e-175,"30","Garem1"
7.54850751226396e-180,1.56114429387909,0.446,0.176,3.06575084103089e-175,"30","Adamts6"
2.6282308547271e-179,1.76899882920017,0.259,0.068,1.06742967933887e-174,"30","Zcchc24"
1.22828494444191e-178,1.86815173909825,0.408,0.157,4.98855647335638e-174,"30","Efcab2"
1.32363242355257e-178,1.31868457435008,0.705,0.45,5.37580072501642e-174,"30","Cldnd1"
2.81203465969559e-178,1.31315666246619,0.75,0.518,1.14207975668877e-173,"30","Higd1a"
4.63622316443748e-178,1.2786882067856,0.627,0.325,1.88295567600464e-173,"30","Palld"
4.652523948111e-178,1.41086651688299,0.38,0.13,1.8895760762858e-173,"30","Abca1"
4.93994378929897e-178,1.94456883162676,0.36,0.127,2.00630877058588e-173,"30","Lrp10"
9.31158935546712e-178,1.41289769096946,0.648,0.368,3.78180890082942e-173,"30","Tmem33"
2.01567560672294e-176,1.19561818600196,0.727,0.456,8.18646490914455e-172,"30","Ttyh3"
2.83896047292602e-176,2.27255550673172,0.25,0.068,1.15301540647417e-171,"30","Polk"
7.98937152017458e-176,1.69364064476442,0.295,0.088,3.2448033492037e-171,"30","Nr3c2"
6.75687271650939e-175,1.71220984266377,0.491,0.223,2.74423628508312e-170,"30","Ccdc136"
7.56207135036631e-174,0.922796981943811,0.912,0.754,3.07125965823777e-169,"30","Hspa5"
2.7059537802423e-173,1.58252643863581,0.473,0.2,1.09899606830761e-168,"30","Fzd2"
3.38419172889952e-173,1.95539031925338,0.373,0.138,1.37445562877525e-168,"30","Rpgrip1l"
8.67569351981313e-173,0.641847212280531,0.903,0.676,3.52354616613691e-168,"30","Tenm3"
2.91731651448062e-172,1.38101635206542,0.675,0.402,1.18483892919116e-167,"30","2210408I21Rik"
